[HEADER]
Gravity [m2/s]:	9.81
Area meas. section [m2]:	0.0120
GVF porthole distance [m]:	0.960
Density liquid [kg/m3]:	998
[DATA]
[s]	[HH:mm:ss]	[m3/h]	[m3/h]	[pct]	[ln/min]	[mbar]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[W]	[W]	[W]
time	wall_time	Q_tunnel_setp	Q_tunnel	S_pump_setp	Q_bubbles	Pdiff_GVF	T_TC_01	T_TC_02	T_TC_03	T_TC_04	T_TC_05	T_TC_06	T_TC_07	T_TC_08	T_TC_09	T_TC_10	T_TC_11	T_TC_12	T_ambient	T_inlet	T_outlet	T_chill_setp	T_chill	P_PSU_1	P_PSU_2	P_PSU_3
0.000	13:29:58.461	21.600	21.720	32.394	0.00	0.21	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.574	21.658	19.0	22.5	870.08	870.06	869.89
0.100	13:29:58.561	21.600	21.720	32.388	0.00	0.23	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.574	21.658	19.0	22.5	870.08	870.06	869.89
0.200	13:29:58.661	21.600	21.725	32.388	0.00	0.22	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.574	21.658	19.0	22.5	870.08	870.06	869.95
0.300	13:29:58.761	21.600	21.715	32.388	0.00	0.22	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.574	21.658	19.0	22.5	870.08	870.06	869.95
0.400	13:29:58.861	21.600	21.705	32.388	0.00	0.23	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
0.500	13:29:58.961	21.600	21.705	32.388	0.00	0.24	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
0.600	13:29:59.061	21.600	21.700	32.388	0.00	0.25	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
0.700	13:29:59.161	21.600	21.705	32.388	0.00	0.23	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
0.800	13:29:59.261	21.600	21.700	32.388	0.00	0.20	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
0.900	13:29:59.361	21.600	21.700	32.388	0.00	0.19	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
1.006	13:29:59.467	21.600	21.695	32.388	0.00	0.20	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	870.08	870.06	869.95
1.101	13:29:59.562	21.600	21.695	32.388	0.00	0.21	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	870.08	870.06	869.95
1.201	13:29:59.662	21.600	21.700	32.388	0.00	0.19	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	870.08	870.06	869.95
1.300	13:29:59.761	21.600	21.695	32.388	0.00	0.19	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	870.02	870.00	869.95
1.400	13:29:59.861	21.600	21.690	32.388	0.00	0.17	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	870.02	870.00	869.95
1.500	13:29:59.961	21.600	21.695	32.388	0.00	0.14	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	869.87	869.85	869.95
1.600	13:30:00.061	21.600	21.690	32.388	0.00	0.16	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	869.87	869.85	869.95
1.700	13:30:00.161	21.600	21.685	32.388	0.00	0.19	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	869.87	869.85	869.95
1.801	13:30:00.262	21.600	21.685	32.388	0.00	0.20	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	869.87	869.85	869.95
1.900	13:30:00.361	21.600	21.675	32.388	0.00	0.20	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.896	21.587	21.671	19.0	22.5	869.87	869.85	869.95
2.000	13:30:00.461	21.600	21.670	32.388	0.00	0.22	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.920	21.587	21.671	19.0	22.5	869.87	869.85	869.95
2.100	13:30:00.561	21.600	21.670	32.394	0.00	0.21	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.920	21.587	21.671	19.0	22.5	869.87	869.85	869.95
2.200	13:30:00.661	21.600	21.675	32.394	0.00	0.23	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.920	21.587	21.671	19.0	22.5	869.94	869.91	869.95
2.301	13:30:00.762	21.600	21.670	32.394	0.00	0.26	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.920	21.587	21.671	19.0	22.5	869.94	869.91	869.95
2.400	13:30:00.861	21.600	21.660	32.394	0.00	0.25	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.920	21.576	21.671	19.0	22.5	869.94	870.06	869.95
2.500	13:30:00.961	21.600	21.655	32.394	0.00	0.26	88.29	87.83	85.78	88.26	85.30	90.29	21.14	21.07	21.05	21.03	nan	nan	22.920	21.576	21.671	19.0	22.5	869.94	870.06	869.95
2.600	13:30:01.061	21.600	21.655	32.394	0.00	0.24	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.671	19.0	22.5	869.94	870.06	869.95
2.700	13:30:01.161	21.600	21.650	32.394	0.00	0.26	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.671	19.0	22.5	869.94	870.06	869.95
2.800	13:30:01.261	21.600	21.650	32.394	0.00	0.28	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.671	19.0	22.5	869.94	870.06	869.95
2.900	13:30:01.361	21.600	21.650	32.394	0.00	0.28	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.671	19.0	22.5	869.94	870.06	869.95
3.000	13:30:01.461	21.600	21.645	32.394	0.00	0.28	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.671	19.0	22.5	869.94	870.06	869.95
3.100	13:30:01.561	21.600	21.645	32.400	0.00	0.29	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.660	19.0	22.5	869.94	870.06	869.95
3.200	13:30:01.661	21.600	21.645	32.400	0.00	0.29	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.660	19.0	22.5	869.94	870.06	869.95
3.300	13:30:01.761	21.600	21.645	32.400	0.00	0.27	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.660	19.0	22.5	869.94	870.06	869.95
3.400	13:30:01.861	21.600	21.655	32.400	0.00	0.28	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.660	19.0	22.5	869.94	870.06	869.95
3.500	13:30:01.961	21.600	21.665	32.400	0.00	0.27	87.93	88.30	85.79	88.01	84.98	89.89	21.13	21.06	21.06	21.04	nan	nan	22.920	21.576	21.660	19.0	22.5	869.94	870.06	869.95
3.600	13:30:02.061	21.600	21.665	32.400	0.00	0.26	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.920	21.576	21.660	19.0	22.5	869.94	870.06	869.95
3.700	13:30:02.161	21.600	21.665	32.400	0.00	0.23	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.920	21.576	21.660	19.0	22.5	869.94	870.06	869.95
3.801	13:30:02.262	21.600	21.660	32.400	0.00	0.21	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.920	21.576	21.660	19.0	22.5	869.94	870.06	869.95
3.900	13:30:02.361	21.600	21.660	32.400	0.00	0.19	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.920	21.576	21.660	19.0	22.5	869.94	870.06	869.95
4.000	13:30:02.461	21.600	21.660	32.400	0.00	0.22	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.919	21.576	21.660	19.0	22.5	869.94	870.06	869.95
4.100	13:30:02.561	21.600	21.660	32.394	0.00	0.26	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.919	21.576	21.660	19.0	22.5	869.94	870.06	869.95
4.201	13:30:02.662	21.600	21.655	32.394	0.00	0.24	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.919	21.576	21.660	19.0	22.5	869.94	870.06	870.01
4.300	13:30:02.761	21.600	21.660	32.394	0.00	0.28	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.919	21.576	21.660	19.0	22.5	870.08	870.06	870.01
4.400	13:30:02.861	21.600	21.660	32.394	0.00	0.27	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.919	21.578	21.660	19.0	22.5	870.08	869.91	870.01
4.500	13:30:02.961	21.600	21.655	32.394	0.00	0.27	88.01	88.32	86.00	88.18	84.63	90.00	21.14	21.08	21.08	21.03	nan	nan	22.919	21.578	21.660	19.0	22.5	870.08	869.91	870.01
4.600	13:30:03.061	21.600	21.655	32.394	0.00	0.26	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.660	19.0	22.5	870.08	869.91	870.01
4.700	13:30:03.161	21.600	21.635	32.394	0.00	0.25	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.660	19.0	22.5	870.08	869.91	870.01
4.800	13:30:03.261	21.600	21.645	32.394	0.00	0.22	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.660	19.0	22.5	870.08	869.91	870.01
4.900	13:30:03.361	21.600	21.645	32.394	0.00	0.22	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.660	19.0	22.5	870.08	869.91	870.01
5.000	13:30:03.461	21.600	21.645	32.394	0.00	0.20	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.660	19.0	22.5	870.08	869.91	870.01
5.100	13:30:03.561	21.600	21.645	32.394	0.00	0.18	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.654	19.0	22.5	870.08	869.91	870.01
5.200	13:30:03.661	21.600	21.645	32.394	0.00	0.17	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.654	19.0	22.4	870.08	869.91	869.95
5.301	13:30:03.762	21.600	21.640	32.394	0.00	0.20	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.654	19.0	22.4	870.08	869.91	869.95
5.400	13:30:03.861	21.600	21.640	32.394	0.00	0.25	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.654	19.0	22.4	869.94	870.06	869.95
5.500	13:30:03.961	21.600	21.650	32.394	0.00	0.25	88.39	88.72	86.39	88.54	84.43	89.72	21.13	21.08	21.06	21.04	nan	nan	22.919	21.578	21.654	19.0	22.4	869.94	870.06	869.95
5.600	13:30:04.061	21.600	21.645	32.394	0.00	0.25	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.919	21.578	21.654	19.0	22.4	869.94	870.06	869.95
5.701	13:30:04.162	21.600	21.640	32.394	0.00	0.25	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.919	21.578	21.654	19.0	22.4	869.94	870.06	869.95
5.801	13:30:04.262	21.600	21.640	32.394	0.00	0.27	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.919	21.578	21.654	19.0	22.4	869.94	870.06	869.95
5.900	13:30:04.361	21.600	21.640	32.394	0.00	0.24	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.919	21.578	21.654	19.0	22.4	869.94	870.06	869.95
6.000	13:30:04.461	21.600	21.635	32.394	0.00	0.25	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.913	21.578	21.654	19.0	22.4	869.94	870.06	869.95
6.100	13:30:04.561	21.600	21.630	32.394	0.00	0.25	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.913	21.578	21.654	19.0	22.4	869.94	870.06	869.95
6.200	13:30:04.661	21.600	21.635	32.394	0.00	0.27	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.913	21.578	21.654	19.0	22.4	869.94	870.06	870.01
6.300	13:30:04.761	21.600	21.630	32.394	0.00	0.26	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.913	21.578	21.654	19.0	22.4	869.94	870.06	870.01
6.400	13:30:04.861	21.600	21.630	32.394	0.00	0.27	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.913	21.581	21.654	19.0	22.4	869.94	870.06	870.01
6.500	13:30:04.961	21.600	21.635	32.394	0.00	0.27	88.89	88.52	86.90	89.02	84.25	88.85	21.14	21.08	21.07	21.03	nan	nan	22.913	21.581	21.654	19.0	22.4	869.94	870.06	870.01
6.600	13:30:05.061	21.600	21.625	32.394	0.00	0.24	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.654	19.0	22.4	869.94	870.06	870.01
6.700	13:30:05.161	21.600	21.625	32.394	0.00	0.23	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.654	19.0	22.4	869.94	870.06	870.01
6.801	13:30:05.262	21.600	21.615	32.394	0.00	0.23	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.654	19.0	22.4	869.94	870.06	870.01
6.900	13:30:05.361	21.600	21.615	32.394	0.00	0.20	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.654	19.0	22.4	869.94	870.06	870.01
7.000	13:30:05.461	21.600	21.620	32.394	0.00	0.20	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.654	19.0	22.4	869.94	870.06	870.01
7.100	13:30:05.561	21.600	21.615	32.400	0.00	0.20	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.677	19.0	22.4	869.94	870.06	870.01
7.201	13:30:05.662	21.600	21.610	32.400	0.00	0.20	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.677	19.0	22.4	870.00	870.00	870.01
7.300	13:30:05.761	21.600	21.610	32.400	0.00	0.20	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.677	19.0	22.4	870.00	870.00	870.01
7.400	13:30:05.861	21.600	21.620	32.400	0.00	0.22	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.677	19.0	22.4	870.14	869.85	870.01
7.500	13:30:05.961	21.600	21.620	32.400	0.00	0.20	89.03	88.42	86.99	89.22	84.37	88.55	21.14	21.08	21.06	21.05	nan	nan	22.913	21.581	21.677	19.0	22.4	870.14	869.85	870.01
7.600	13:30:06.061	21.600	21.620	32.400	0.00	0.21	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.913	21.581	21.677	19.0	22.4	870.14	869.85	870.01
7.700	13:30:06.161	21.600	21.615	32.400	0.00	0.23	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.913	21.581	21.677	19.0	22.4	870.14	869.85	870.01
7.800	13:30:06.261	21.600	21.615	32.400	0.00	0.22	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.913	21.581	21.677	19.0	22.4	870.14	869.85	870.01
7.900	13:30:06.361	21.600	21.610	32.400	0.00	0.22	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.913	21.581	21.677	19.0	22.4	870.14	869.85	870.01
8.000	13:30:06.461	21.600	21.610	32.400	0.00	0.23	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.920	21.581	21.677	19.0	22.4	870.14	869.85	870.01
8.100	13:30:06.561	21.600	21.610	32.400	0.00	0.20	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.920	21.581	21.677	19.0	22.4	870.14	869.85	870.01
8.200	13:30:06.661	21.600	21.605	32.400	0.00	0.20	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.920	21.581	21.677	19.0	22.4	870.08	869.91	870.01
8.300	13:30:06.761	21.600	21.600	32.400	0.00	0.20	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.920	21.581	21.677	19.0	22.4	870.08	869.91	870.01
8.400	13:30:06.861	21.600	21.595	32.400	0.00	0.24	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.920	21.581	21.677	19.0	22.4	869.94	870.06	870.01
8.500	13:30:06.961	21.600	21.595	32.400	0.00	0.25	88.86	88.10	87.10	89.21	84.31	88.89	21.15	21.07	21.07	21.04	nan	nan	22.920	21.589	21.677	19.0	22.4	869.94	870.06	870.01
8.600	13:30:07.061	21.600	21.595	32.400	0.00	0.23	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.677	19.0	22.4	869.94	870.06	870.01
8.700	13:30:07.161	21.600	21.595	32.400	0.00	0.24	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.677	19.0	22.4	869.94	870.06	870.01
8.800	13:30:07.261	21.600	21.595	32.400	0.00	0.23	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.677	19.0	22.4	869.94	870.06	870.01
8.900	13:30:07.361	21.600	21.595	32.400	0.00	0.24	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.677	19.0	22.4	869.94	870.06	870.01
9.000	13:30:07.461	21.600	21.590	32.400	0.00	0.23	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.677	19.0	22.4	869.94	870.06	870.01
9.100	13:30:07.561	21.600	21.585	32.406	0.00	0.25	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.693	19.0	22.4	869.94	870.06	870.01
9.200	13:30:07.661	21.600	21.585	32.406	0.00	0.28	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.693	19.0	22.4	869.94	870.06	869.95
9.300	13:30:07.761	21.600	21.580	32.406	0.00	0.28	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.693	19.0	22.4	869.94	870.06	869.95
9.400	13:30:07.861	21.600	21.580	32.406	0.00	0.28	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.693	19.0	22.4	869.94	869.91	869.81
9.500	13:30:07.961	21.600	21.580	32.406	0.00	0.25	88.77	87.61	86.72	89.48	84.56	89.30	21.12	21.09	21.08	21.04	nan	nan	22.920	21.589	21.693	19.0	22.4	869.94	869.91	869.81
9.600	13:30:08.061	21.600	21.570	32.406	0.00	0.22	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.920	21.589	21.693	19.0	22.4	869.94	869.91	869.81
9.700	13:30:08.161	21.600	21.570	32.406	0.00	0.21	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.920	21.589	21.693	19.0	22.4	869.94	869.91	869.81
9.801	13:30:08.262	21.600	21.560	32.406	0.00	0.23	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.920	21.589	21.693	19.0	22.4	869.94	869.91	869.81
9.900	13:30:08.361	21.600	21.545	32.406	0.00	0.23	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.920	21.589	21.693	19.0	22.4	869.94	869.91	869.81
10.000	13:30:08.461	21.600	21.545	32.406	0.00	0.26	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.932	21.589	21.693	19.0	22.4	869.94	869.91	869.81
10.100	13:30:08.561	21.600	21.545	32.425	0.00	0.27	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.932	21.589	21.693	19.0	22.4	869.94	869.91	869.81
10.201	13:30:08.662	21.600	21.535	32.425	0.00	0.23	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.932	21.589	21.693	19.0	22.4	869.94	869.91	869.87
10.300	13:30:08.761	21.600	21.530	32.425	0.00	0.22	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.932	21.589	21.693	19.0	22.4	869.94	869.91	869.87
10.400	13:30:08.861	21.600	21.535	32.425	0.00	0.19	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.932	21.589	21.693	19.0	22.4	869.94	869.91	870.01
10.500	13:30:08.961	21.600	21.525	32.425	0.00	0.20	88.91	88.01	86.52	89.24	84.80	89.13	21.15	21.09	21.07	21.06	nan	nan	22.932	21.586	21.693	19.0	22.4	869.94	869.91	870.01
10.600	13:30:09.061	21.600	21.525	32.425	0.00	0.22	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.693	19.0	22.4	869.94	869.91	870.01
10.700	13:30:09.161	21.600	21.520	32.425	0.00	0.19	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.693	19.0	22.4	869.94	869.91	870.01
10.800	13:30:09.261	21.600	21.520	32.425	0.00	0.19	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.693	19.0	22.4	869.94	869.91	870.01
10.900	13:30:09.361	21.600	21.520	32.425	0.00	0.19	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.693	19.0	22.4	869.94	869.91	870.01
11.000	13:30:09.461	21.600	21.515	32.425	0.00	0.22	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.693	19.0	22.4	869.94	869.91	870.01
11.100	13:30:09.561	21.600	21.520	32.438	0.00	0.24	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.698	19.0	22.4	869.94	869.91	870.01
11.200	13:30:09.661	21.600	21.525	32.438	0.00	0.24	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.698	19.0	22.3	870.00	869.91	870.01
11.300	13:30:09.761	21.600	21.525	32.438	0.00	0.22	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.698	19.0	22.3	870.00	870.06	870.01
11.400	13:30:09.861	21.600	21.525	32.438	0.00	0.20	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.698	19.0	22.3	870.14	870.06	869.87
11.500	13:30:09.961	21.600	21.530	32.438	0.00	0.23	89.26	88.46	86.92	88.94	84.83	88.75	21.15	21.09	21.07	21.05	nan	nan	22.932	21.586	21.698	19.0	22.3	870.14	870.06	869.87
11.600	13:30:10.061	21.600	21.525	32.438	0.00	0.20	89.54	88.48	87.23	89.41	84.65	88.48	21.15	21.09	21.08	21.05	nan	nan	22.932	21.586	21.698	19.0	22.3	870.14	870.06	869.87
11.701	13:30:10.162	21.600	21.525	32.438	0.00	0.21	89.54	88.48	87.23	89.41	84.65	88.48	21.15	21.09	21.08	21.05	nan	nan	22.932	21.586	21.698	19.0	22.3	870.14	870.06	869.87
11.800	13:30:10.261	21.600	21.525	32.438	0.00	0.20	89.54	88.48	87.23	89.41	84.65	88.48	21.15	21.09	21.08	21.05	nan	nan	22.932	21.586	21.698	19.0	22.3	870.14	870.06	869.87
11.900	13:30:10.361	21.600	21.520	32.438	0.00	0.25	89.54	88.48	87.23	89.41	84.65	88.48	21.15	21.09	21.08	21.05	nan	nan	22.932	21.586	21.698	19.0	22.3	870.14	870.06	869.87
12.000	13:30:10.461	21.600	21.520	32.438	0.00	0.23	89.54	88.48	87.23	89.41	84.65	88.48	21.15	21.09	21.08	21.05	nan	nan	22.914	21.586	21.698	19.0	22.3	870.14	870.06	869.87
12.101	13:30:10.562	21.600	21.535	32.438	0.00	0.25	89.54	88.48	87.23	89.41	84.65	88.48	21.15	21.09	21.08	21.05	nan	nan	22.914	21.586	21.698	19.0	22.3	870.14	870.06	869.87
12.200	13:30:10.661	21.600	21.540	32.438	0.00	0.27	89.54	88.48	87.23	89.41	84.65	88.48	21.15	21.09	21.08	21.05	nan	nan	22.914	21.586	21.698	19.0	22.3	870.08	870.06	869.93
